dataset	k	mut	name	unqRat	unqCnt	notUnqCnt	totCnt
Altai	1	0	1-A.seq-A_mut_0	0	0	22829171	22829171
Altai	1	1	1-A.seq-A_mut_1	0	0	22829171	22829171
Altai	1	2	1-A.seq-A_mut_2	0	0	22829171	22829171
Altai	1	3	1-A.seq-A_mut_3	0	0	22829171	22829171
Altai	1	4	1-A.seq-A_mut_4	0	0	22829171	22829171
Altai	1	5	1-A.seq-A_mut_5	0	0	22829171	22829171
Altai	1	6	1-A.seq-A_mut_6	0	0	22829171	22829171
Altai	1	7	1-A.seq-A_mut_7	0	0	22829171	22829171
Altai	1	8	1-A.seq-A_mut_8	0	0	22829171	22829171
Altai	1	9	1-A.seq-A_mut_9	0	0	22829171	22829171
Altai	1	10	1-A.seq-A_mut_10	0	0	22829171	22829171
Altai	1	11	1-A.seq-A_mut_11	0	0	22829171	22829171
Altai	1	12	1-A.seq-A_mut_12	0	0	22829171	22829171
Altai	1	13	1-A.seq-A_mut_13	0	0	22829171	22829171
Altai	1	14	1-A.seq-A_mut_14	0	0	22829171	22829171
Altai	1	15	1-A.seq-A_mut_15	0	0	22829171	22829171
Altai	1	16	1-A.seq-A_mut_16	0	0	22829171	22829171
Altai	1	17	1-A.seq-A_mut_17	0	0	22829171	22829171
Altai	1	18	1-A.seq-A_mut_18	0	0	22829171	22829171
Altai	1	19	1-A.seq-A_mut_19	0	0	22829171	22829171
Altai	1	20	1-A.seq-A_mut_20	0	0	22829171	22829171
Altai	1	21	1-A.seq-A_mut_21	0	0	22829171	22829171
Altai	1	22	1-A.seq-A_mut_22	0	0	22829171	22829171
Altai	1	23	1-A.seq-A_mut_23	0	0	22829171	22829171
Altai	1	24	1-A.seq-A_mut_24	0	0	22829171	22829171
Altai	1	25	1-A.seq-A_mut_25	0	0	22829171	22829171
Altai	1	26	1-A.seq-A_mut_26	0	0	22829171	22829171
Altai	1	27	1-A.seq-A_mut_27	0	0	22829171	22829171
Altai	1	28	1-A.seq-A_mut_28	0	0	22829171	22829171
Altai	1	29	1-A.seq-A_mut_29	0	0	22829171	22829171
Altai	1	30	1-A.seq-A_mut_30	0	0	22829171	22829171
Altai	1	31	1-A.seq-A_mut_31	0	0	22829171	22829171
Altai	1	32	1-A.seq-A_mut_32	0	0	22829171	22829171
Altai	1	33	1-A.seq-A_mut_33	0	0	22829171	22829171
Altai	1	34	1-A.seq-A_mut_34	0	0	22829171	22829171
Altai	1	35	1-A.seq-A_mut_35	0	0	22829171	22829171
Altai	1	36	1-A.seq-A_mut_36	0	0	22829171	22829171
Altai	1	37	1-A.seq-A_mut_37	0	0	22829171	22829171
Altai	1	38	1-A.seq-A_mut_38	0	0	22829171	22829171
Altai	1	39	1-A.seq-A_mut_39	0	0	22829171	22829171
Altai	1	40	1-A.seq-A_mut_40	0	0	22829171	22829171
Altai	1	41	1-A.seq-A_mut_41	0	0	22829171	22829171
Altai	1	42	1-A.seq-A_mut_42	0	0	22829171	22829171
Altai	1	43	1-A.seq-A_mut_43	0	0	22829171	22829171
Altai	1	44	1-A.seq-A_mut_44	0	0	22829171	22829171
Altai	1	45	1-A.seq-A_mut_45	0	0	22829171	22829171
Altai	1	46	1-A.seq-A_mut_46	0	0	22829171	22829171
Altai	1	47	1-A.seq-A_mut_47	0	0	22829171	22829171
Altai	1	48	1-A.seq-A_mut_48	0	0	22829171	22829171
Altai	1	49	1-A.seq-A_mut_49	0	0	22829171	22829171
Altai	1	50	1-A.seq-A_mut_50	0	0	22829171	22829171
Altai	2	0	2-A.seq-A_mut_0	0	0	22829171	22829171
Altai	2	1	2-A.seq-A_mut_1	0	0	22829171	22829171
Altai	2	2	2-A.seq-A_mut_2	0	0	22829171	22829171
Altai	2	3	2-A.seq-A_mut_3	0	0	22829171	22829171
Altai	2	4	2-A.seq-A_mut_4	0	0	22829171	22829171
Altai	2	5	2-A.seq-A_mut_5	0	0	22829171	22829171
Altai	2	6	2-A.seq-A_mut_6	0	0	22829171	22829171
Altai	2	7	2-A.seq-A_mut_7	0	0	22829171	22829171
Altai	2	8	2-A.seq-A_mut_8	0	0	22829171	22829171
Altai	2	9	2-A.seq-A_mut_9	0	0	22829171	22829171
Altai	2	10	2-A.seq-A_mut_10	0	0	22829171	22829171
Altai	2	11	2-A.seq-A_mut_11	0	0	22829171	22829171
Altai	2	12	2-A.seq-A_mut_12	0	0	22829171	22829171
Altai	2	13	2-A.seq-A_mut_13	0	0	22829171	22829171
Altai	2	14	2-A.seq-A_mut_14	0	0	22829171	22829171
Altai	2	15	2-A.seq-A_mut_15	0	0	22829171	22829171
Altai	2	16	2-A.seq-A_mut_16	0	0	22829171	22829171
Altai	2	17	2-A.seq-A_mut_17	0	0	22829171	22829171
Altai	2	18	2-A.seq-A_mut_18	0	0	22829171	22829171
Altai	2	19	2-A.seq-A_mut_19	0	0	22829171	22829171
Altai	2	20	2-A.seq-A_mut_20	0	0	22829171	22829171
Altai	2	21	2-A.seq-A_mut_21	0	0	22829171	22829171
Altai	2	22	2-A.seq-A_mut_22	0	0	22829171	22829171
Altai	2	23	2-A.seq-A_mut_23	0	0	22829171	22829171
Altai	2	24	2-A.seq-A_mut_24	0	0	22829171	22829171
Altai	2	25	2-A.seq-A_mut_25	0	0	22829171	22829171
Altai	2	26	2-A.seq-A_mut_26	0	0	22829171	22829171
Altai	2	27	2-A.seq-A_mut_27	0	0	22829171	22829171
Altai	2	28	2-A.seq-A_mut_28	0	0	22829171	22829171
Altai	2	29	2-A.seq-A_mut_29	0	0	22829171	22829171
Altai	2	30	2-A.seq-A_mut_30	0	0	22829171	22829171
Altai	2	31	2-A.seq-A_mut_31	0	0	22829171	22829171
Altai	2	32	2-A.seq-A_mut_32	0	0	22829171	22829171
Altai	2	33	2-A.seq-A_mut_33	0	0	22829171	22829171
Altai	2	34	2-A.seq-A_mut_34	0	0	22829171	22829171
Altai	2	35	2-A.seq-A_mut_35	0	0	22829171	22829171
Altai	2	36	2-A.seq-A_mut_36	0	0	22829171	22829171
Altai	2	37	2-A.seq-A_mut_37	0	0	22829171	22829171
Altai	2	38	2-A.seq-A_mut_38	0	0	22829171	22829171
Altai	2	39	2-A.seq-A_mut_39	0	0	22829171	22829171
